start_trip_id,end_trip_id,start_route_id,end_route_id,start_agency_id,end_agency_id,start_route_short_name,end_route_short_name,start_route_name,end_route_name,start_trip_headsign,end_trip_headsign,start_stop_id,end_stop_id,start_stop_sequence,end_stop_sequence,start_stop_lat,start_stop_lon,end_stop_lat,end_stop_lon,walking_distance_m,walking_path_coords
4QUtLrt9QqoQBADynOzAM-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,SqToUMEw-z1wSe52v0JGh,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Abu Qir - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Train Station (El-Shohada Square),359,359,13,20,31.193334,29.904704,31.193334,29.904704,0.0,"[[31.1933338, 29.904704]]"
6OIx6bTrieeeSM5cAiCs--07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,KNOT7t80YXwsfYupjUiTk,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,El-Mawqaf El-Geded - Hanuvil,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Hanuvil,Train Station (El-Shohada Square),42,109,9,1,31.101100113644183,29.774283276298394,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
9iBvMMprqaal91Eesle9O-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,2HEouGQcgjyXwlsq69h3S,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,El-Awayed - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Train Station (El-Shohada Square),359,359,15,20,31.193334,29.904704,31.193334,29.904704,0.0,"[[31.1933338, 29.904704]]"
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,cQIW-LxFXCIuxPpIw4MR2,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Amreyya - El-Awayed,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Amreyya,Train Station (El-Shohada Square),251,109,13,1,31.03652411221633,29.78219453106319,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
BxVJu5Cu3SBv6k6JEotw3-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,Rx10-oSKyoIJDvbVd1Py3,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Abu Youssef - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Abu Youssef,Train Station (El-Shohada Square),7,109,4,1,31.0751035,29.7532603,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
CoaLpd6rmb73R6BNYH7S1-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,XQFjzrlmVSDo00hpPwPD9,djf-0ENVceYNg5x6O7HGq,P_B_8,Bus,Tomnaya ,Bus 409,Hanuvil - Kilo 21,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Kilo 21,Train Station (El-Shohada Square),18,109,7,1,31.079196,29.736365,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
FUo5FExiKwUTpyTUJYA7R-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,EqpMMSAPpyyeIs0OPJu7A,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Asafra - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Train Station (El-Shohada Square),359,359,13,20,31.193334,29.904704,31.193334,29.904704,0.0,"[[31.1933338, 29.904704]]"
GK-B6ExLThapIsC2LwCU5-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,w5lnA7aOkl9RbW6RzoEdG,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Hadra - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Train Station (El-Shohada Square),359,359,5,20,31.193334,29.904704,31.193334,29.904704,0.0,"[[31.1933338, 29.904704]]"
GVMY3J8hLKwB3k_XzZZNA-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,VqsKdXjc_nTkIE8PZUK7V,djf-0ENVceYNg5x6O7HGq,Bus,Bus,Bus 735,Bus 409,Asafra - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Train Station (El-Shohada Square),359,359,29,20,31.193334,29.904704,31.193334,29.904704,0.0,"[[31.1933338, 29.904704]]"
HcF2oktSKDVQXpBv7t2j3-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,6Jzbm71jwnmQuuO9P7ngg,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Al-Seyouf (Falaky) - Hanuvil,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Hanuvil,Train Station (El-Shohada Square),34,109,22,1,31.09932,29.771776,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
