route_id,agency_id,route_long_name,route_long_name_ar,route_short_name,route_type,continuous_pickup,continuous_drop_off,route_short_name_ar
zwjvZyv-K7qfVyipl6li5,P_O_14,Borg El Arab Al Arbaneyat Prison - El-Mawqaf El-Geded,سجن العربنيات ببرج العرب - الموقف الجديد,Microbus ,3,1,1,ميكروباص
dC4CWsX_TbK9g5r1kzt4S,P_O_14,Abu Qir - El-Mandara,أبو قير - المندرة,Microbus ,3,1,1,ميكروباص
50n7_gqFiIrgeNHtVzwF0,P_O_14,Kilo 21 - Sidi Gabir,الكيلو ٢١ - سيدي جابر,Microbus ,3,1,1,ميكروباص
BDGXXpou9Eb38xEVTNUs2,P_O_14,Amreyya - Kilo 21,العامرية - الكيلو ٢١,Microbus ,3,1,1,ميكروباص
_RCpDqcLlmzJHSPPy8bli,P_O_14,Kilo 21 - Raml Station,الكيلو ٢١ - محطة الرمل,Microbus ,3,1,1,ميكروباص
Jahu5bHSRsdCyh3p5H6cJ,P_O_14,Bahary (Ras Al-Tin) - El-Mandara,بحري (رأس التين) - المندرة,Microbus ,3,1,1,ميكروباص
cQIW-LxFXCIuxPpIw4MR2,P_O_14,Amreyya - El-Awayed,العامرية - العوايد,Microbus ,3,1,1,ميكروباص
8NzGmmMDzhEhQEXbQjJTl,P_O_14,Sidi Bishr - Train Station (El-Shohada Square),سيدي بشر - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
3I93k-8Viq6W8QFXbpmUU,P_O_14,El-Rassafa - Train Station (El-Shohada Square),الرصافة - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
pIaHBI4j1KA7mIDUenoKC,Bus,Abd El-Qader Al-Gadida - Train Station (El-Shohada Square),عبد القادر الجديدة - محطة مصر (ميدان الشهداء),Bus 480,3,1,1,اتوبيس 480
T6BRc19d7TrtHQroCLymy,P_O_14,Hanuvil Gameyya - Raml Station,جمعية الهانوفيل - محطة الرمل,Microbus ,3,1,1,ميكروباص
LrIznn0Nk3YYvE6SV4NT_,Bus,Asafra - Train Station (El-Shohada Square),العصافرة - محطة مصر (ميدان الشهداء),Bus 739,3,1,1,اتوبيس 739
o7ehON1F_k7JHoHJOQYGh,P_B_8,Al-Seyouf (Falaky) - El-Sa'ah (Clock Square),السيوف (فلكي) - الساعة (ميدان الساعة),Tomnaya ,3,1,1,تومناية
llujnjcOUaGBRa_Jecss3,P_B_8,El-Awayed - El-Sa'ah (Clock Square),العوايد - الساعة (ميدان الساعة),Tomnaya ,3,1,1,تومناية
VqsKdXjc_nTkIE8PZUK7V,Bus,Asafra - Train Station (El-Shohada Square),العصافرة - محطة مصر (ميدان الشهداء),Bus 735,3,1,1,اتوبيس 735
RSdPdtwiGzlvedMSUpA36,Bus,El-Awayed - Sidi Gabir,العوايد - سيدي جابر,Bus 243,3,1,1,اتوبيس 243
T7uwVnYTnWKajNK7K5gyj,P_B_8,Al-Maraghi - El-Sa'ah (Clock Square),المراجي - الساعة (ميدان الساعة),Tomnaya ,3,1,1,تومناية
9Ge1SSHI5IgHaGIK61A7q,P_B_8,Abo Soliman - El-Sa'ah (Clock Square),أبو سليمان - الساعة (ميدان الساعة),Tomnaya ,3,1,1,تومناية
XQFjzrlmVSDo00hpPwPD9,P_B_8,Hanuvil - Kilo 21,الهانوفيل - الكيلو ٢١,Tomnaya ,3,1,1,تومناية
djf-0ENVceYNg5x6O7HGq,Bus,El-Nasreya El-Qadema - Train Station (El-Shohada Square),الناصرية القديمة - محطة مصر (ميدان الشهداء),Bus 409,3,1,1,اتوبيس 409
8ExRMTw-r4JAqxk8WGljD,Bus,Al-Seyouf (Falaky) - Anfoshy,السيوف (فلكي) - الأنفوشي,Bus 733,3,1,1,اتوبيس 733
oepuTc06iN5U0ZwjmqZIj,Bus,El-Mawqaf El-Geded - Quta (Soter),الموقف الجديد - قوطة (سوتر),Bus 759,3,1,1,اتوبيس 759
D7IwqxPBMcEQiGv3sjC3s,P_B_8,El-Awayed - Victoria station,العوايد - محطة فيكتوريا,Tomnaya ,3,1,1,تومناية
-H9LP4vuOqj-RIRCZNg_6,P_B_8,Ezbet Saad - Sidi Gabir,عزبة سعد - سيدي جابر,Tomnaya ,3,1,1,تومناية
0WNbk9MGSKJVqVAWMBS1q,Bus,Anfoshy - El-Mandara,الأنفوشي - المندرة,Bus ,3,1,1,اتوبيس
gboAfb13A28YhAJkt-Pkx,Bus,Kilo 21 - Train Station (El-Shohada Square),الكيلو ٢١ - محطة مصر (ميدان الشهداء),Bus 423,3,1,1,اتوبيس 423
jmLM1TsmnRPlkOtGUD0nu,Bus,Al-Milaha - Anfoshy,الملاحة - الأنفوشي,Bus 25,3,1,1,اتوبيس 25
9nFu_lj836CKLSJUzjejg,P_B_8,Al-Wardiyan - El-Mansheya,الورديان - المنشية,Tomnaya ,3,1,1,تومناية
V_vEOLz-VvDvsJC4jk5JR,Bus,Amreyya - Raml Station,العامرية - محطة الرمل,Bus 10,3,1,1,اتوبيس 10
wh9cIxqRBTvvkxeMtkHAi,Bus,Shahr Al-Asal - Train Station (El-Shohada Square),شهر العسل - محطة مصر (ميدان الشهداء),Bus 455,3,1,1,اتوبيس 455
1Ctgvye_a8bTjvozOsfEX,P_B_8,Al-Maraghi - El-Awayed,المراجي - العوايد,Tomnaya ,3,1,1,تومناية
S8t0ygpYGRBLHfPC3bjJm,P_B_8,El-Awayed - Khorshid,العوايد - خورشيد,Tomnaya ,3,1,1,تومناية
nl0Bhq5jfJUhmpghbnEaV,Minibus,Abu Qir - Train Station (El-Shohada Square),أبو قير - محطة مصر (ميدان الشهداء),Minibus 1,3,1,1,ميني باص 1
2sefONCZ5v5w4bCF1ybYX,Minibus,Al-Milaha - Train Station (El-Shohada Square),الملاحة - محطة مصر (ميدان الشهداء),Minibus 20,3,1,1,ميني باص 20
hMo27Nx4A3lFCdh0tNdmf,Minibus,Abu Qir - Bahary (Ras Al-Tin),أبو قير - بحري (رأس التين),Minibus 25,3,1,1,ميني باص 25
EWmI2x176BtYHecDIWm2H,Minibus,Bahary (Ras Al-Tin) - Street 45,بحري (رأس التين) - شارع ٤٥,Minibus 5,3,1,1,ميني باص 5
7vCDYOyx9Gj6RZuCS5Igi,Minibus,Abu Qir - Bahary (Ras Al-Tin),أبو قير - بحري (رأس التين),Minibus 4,3,1,1,ميني باص 4
